threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.22727272727272727,0.356176942470777,False
0.02,0.3409090909090909,0.33829933531973416,False
0.03,0.4090909090909091,0.3066697226678891,False
0.04,0.38636363636363635,0.26953930781572316,False
0.05,0.4090909090909091,0.22965849186339676,False
0.06,0.4090909090909091,0.206280082512033,False
0.07,0.4318181818181818,0.18290167316066927,True
0.08,0.5,0.16089846435938576,True
0.09,0.5227272727272727,0.137520055008022,True
0.1,0.5454545454545454,0.1155168462067385,True
0.11,0.5227272727272727,0.11276644510657804,True
0.12,0.5,0.09763923905569563,True
0.13,0.5227272727272727,0.09488883795553518,True
0.14,0.5227272727272727,0.09351363740545497,True
0.15,0.5227272727272727,0.08113683245473298,True
0.16,0.5454545454545454,0.068760027504011,True
0.17,0.5681818181818182,0.06463442585377034,True
0.18,0.5454545454545454,0.059133623653449464,True
0.19,0.5227272727272727,0.05638322255328902,True
0.2,0.5227272727272727,0.05363282145312859,True
0.21,0.5454545454545454,0.05363282145312859,True
0.22,0.5454545454545454,0.044006417602567044,True
0.23,0.5454545454545454,0.039880815952326384,True
0.24,0.5,0.035755214302085725,True
0.25,0.4772727272727273,0.031629612651845065,True
0.26,0.45454545454545453,0.028879211551684623,True
0.27,0.4772727272727273,0.028879211551684623,True
0.28,0.4318181818181818,0.023378409351363743,True
0.29,0.38636363636363635,0.022003208801283522,True
0.3,0.38636363636363635,0.022003208801283522,True
0.31,0.36363636363636365,0.01925280770112308,True
0.32,0.36363636363636365,0.01650240660096264,True
0.33,0.36363636363636365,0.01237680495072198,True
0.34,0.36363636363636365,0.01237680495072198,True
0.35,0.36363636363636365,0.011001604400641761,True
0.36,0.36363636363636365,0.00825120330048132,True
0.37,0.36363636363636365,0.006876002750401101,True
0.38,0.3409090909090909,0.0055008022003208805,True
0.39,0.29545454545454547,0.0055008022003208805,True
0.4,0.2727272727272727,0.0055008022003208805,True
0.41,0.2727272727272727,0.00412560165024066,True
0.42,0.2727272727272727,0.00412560165024066,True
0.43,0.25,0.0027504011001604402,True
0.44,0.25,0.0,True
0.45,0.25,0.0,True
0.46,0.22727272727272727,0.0013752005500802201,True
0.47,0.22727272727272727,0.0013752005500802201,True
0.48,0.22727272727272727,0.0013752005500802201,True
0.49,0.18181818181818182,0.0013752005500802201,True
0.5,0.13636363636363635,0.0013752005500802201,True
0.51,0.13636363636363635,0.0013752005500802201,True
0.52,0.13636363636363635,0.0,True
0.53,0.13636363636363635,0.0,True
0.54,0.13636363636363635,0.0,True
0.55,0.13636363636363635,0.0013752005500802201,True
0.56,0.13636363636363635,0.0,True
0.57,0.13636363636363635,0.0,True
0.58,0.13636363636363635,0.0,True
0.59,0.13636363636363635,0.0,True
0.6,0.13636363636363635,0.0,True
0.61,0.13636363636363635,0.0,True
0.62,0.13636363636363635,0.0,True
0.63,0.11363636363636363,0.0,True
0.64,0.11363636363636363,0.0,True
0.65,0.11363636363636363,0.0,True
0.66,0.11363636363636363,0.0,True
0.67,0.11363636363636363,0.0,True
0.68,0.11363636363636363,0.0,True
0.69,0.11363636363636363,0.0,True
0.7,0.11363636363636363,0.0,True
0.71,0.11363636363636363,0.0,True
0.72,0.11363636363636363,0.0,True
0.73,0.11363636363636363,0.0,True
0.74,0.11363636363636363,0.0,True
0.75,0.11363636363636363,0.0,True
0.76,0.11363636363636363,0.0,True
0.77,0.11363636363636363,0.0,True
0.78,0.06818181818181818,0.0,True
0.79,0.045454545454545456,0.0,True
0.8,0.045454545454545456,0.0,True
0.81,0.022727272727272728,0.0,True
0.82,0.022727272727272728,0.0,True
0.83,0.022727272727272728,0.0,True
0.84,0.0,0.0,True
0.85,0.0,0.0,True
0.86,0.0,0.0,True
0.87,0.0,0.0,True
0.88,0.0,0.0,True
0.89,0.0,0.0,True
0.9,0.0,0.0,True
0.91,0.0,0.0,True
0.92,0.0,0.0,True
0.93,0.0,0.0,True
0.94,0.0,0.0,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
