threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.3181818181818182,0.5679578271831309,False
0.02,0.36363636363636365,0.47444418977767594,False
0.03,0.38636363636363635,0.4221865688746276,False
0.04,0.4318181818181818,0.3589273435709375,False
0.05,0.4772727272727273,0.3011689204675682,False
0.06,0.4772727272727273,0.26816410726564294,False
0.07,0.5,0.2502865001146001,False
0.08,0.5227272727272727,0.22415768966307587,False
0.09,0.5454545454545454,0.21315608526243413,False
0.1,0.5681818181818182,0.1966536786614715,True
0.11,0.5681818181818182,0.1911528764611506,True
0.12,0.6136363636363636,0.17602567041026818,True
0.13,0.6136363636363636,0.16227366490946596,True
0.14,0.6363636363636364,0.1567728627091451,True
0.15,0.6590909090909091,0.14714645885858355,True
0.16,0.6363636363636364,0.13889525555810223,True
0.17,0.6136363636363636,0.13889525555810223,True
0.18,0.6818181818181818,0.1306440522576209,True
0.19,0.7045454545454546,0.1168920467568187,True
0.2,0.7045454545454546,0.11001604400641761,True
0.21,0.6818181818181818,0.11276644510657804,True
0.22,0.6590909090909091,0.11826724730689893,True
0.23,0.6590909090909091,0.1031400412560165,True
0.24,0.6590909090909091,0.09763923905569563,True
0.25,0.6363636363636364,0.09763923905569563,True
0.26,0.6363636363636364,0.09351363740545497,True
0.27,0.6590909090909091,0.08801283520513409,True
0.28,0.6590909090909091,0.07838643135457254,True
0.29,0.6818181818181818,0.07426082970433188,True
0.3,0.6363636363636364,0.068760027504011,True
0.31,0.6136363636363636,0.06738482695393079,True
0.32,0.6136363636363636,0.06463442585377034,True
0.33,0.6136363636363636,0.061884024753609906,True
0.34,0.6363636363636364,0.059133623653449464,True
0.35,0.6363636363636364,0.05225762090304836,True
0.36,0.6136363636363636,0.050882420352968145,True
0.37,0.6363636363636364,0.05225762090304836,True
0.38,0.6363636363636364,0.0481320192528077,True
0.39,0.6363636363636364,0.0481320192528077,True
0.4,0.6363636363636364,0.046756818702727486,True
0.41,0.6136363636363636,0.042631217052486826,True
0.42,0.5909090909090909,0.03713041485216594,True
0.43,0.5909090909090909,0.03713041485216594,True
0.44,0.5909090909090909,0.0343800137520055,True
0.45,0.5909090909090909,0.03025441210176484,True
0.46,0.5681818181818182,0.028879211551684623,True
0.47,0.5909090909090909,0.027504011001604402,True
0.48,0.5681818181818182,0.022003208801283522,True
0.49,0.5681818181818182,0.0206280082512033,True
0.5,0.5909090909090909,0.017877607151042862,True
0.51,0.5227272727272727,0.01512720605088242,True
0.52,0.5227272727272727,0.01237680495072198,True
0.53,0.4772727272727273,0.01237680495072198,True
0.54,0.4318181818181818,0.00962640385056154,True
0.55,0.4090909090909091,0.00962640385056154,True
0.56,0.4090909090909091,0.006876002750401101,True
0.57,0.38636363636363635,0.006876002750401101,True
0.58,0.38636363636363635,0.00825120330048132,True
0.59,0.38636363636363635,0.0055008022003208805,True
0.6,0.36363636363636365,0.0055008022003208805,True
0.61,0.36363636363636365,0.0055008022003208805,True
0.62,0.36363636363636365,0.0055008022003208805,True
0.63,0.38636363636363635,0.00412560165024066,True
0.64,0.36363636363636365,0.0027504011001604402,True
0.65,0.36363636363636365,0.0027504011001604402,True
0.66,0.36363636363636365,0.0027504011001604402,True
0.67,0.3409090909090909,0.0027504011001604402,True
0.68,0.29545454545454547,0.0027504011001604402,True
0.69,0.29545454545454547,0.0027504011001604402,True
0.7,0.2727272727272727,0.0027504011001604402,True
0.71,0.2727272727272727,0.0027504011001604402,True
0.72,0.2727272727272727,0.0027504011001604402,True
0.73,0.2727272727272727,0.0027504011001604402,True
0.74,0.25,0.0027504011001604402,True
0.75,0.22727272727272727,0.0027504011001604402,True
0.76,0.20454545454545456,0.00412560165024066,True
0.77,0.13636363636363635,0.0027504011001604402,True
0.78,0.13636363636363635,0.0027504011001604402,True
0.79,0.13636363636363635,0.0027504011001604402,True
0.8,0.13636363636363635,0.0013752005500802201,True
0.81,0.13636363636363635,0.0013752005500802201,True
0.82,0.13636363636363635,0.0013752005500802201,True
0.83,0.13636363636363635,0.0,True
0.84,0.13636363636363635,0.0,True
0.85,0.13636363636363635,0.0,True
0.86,0.13636363636363635,0.0,True
0.87,0.11363636363636363,0.0,True
0.88,0.11363636363636363,0.0,True
0.89,0.11363636363636363,0.0,True
0.9,0.11363636363636363,0.0,True
0.91,0.11363636363636363,0.0,True
0.92,0.11363636363636363,0.0,True
0.93,0.11363636363636363,0.0,True
0.94,0.11363636363636363,0.0,True
0.95,0.09090909090909091,0.0,True
0.96,0.045454545454545456,0.0,True
0.97,0.022727272727272728,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
